trial_id,reference_audio_stem
trial_001,Bach_BMW-1004_EmilTelmanyi_muscopen_0024_0036
trial_002,Bach_BMW-1004_EmilTelmanyi_muscopen_0060_0072
trial_003,Bach_BMW-1006_EmilTelmanyi_muscopen_0000_0012
trial_004,Bach_BMW-1006_EmilTelmanyi_muscopen_0060_0072
trial_005,Kayser_Op20-15_BernardChevalier_1EqO9uNvHzM-0001-0137
trial_006,Kayser_Op20-15_ClaudioCruz_1C_SiN0JD28-0005-0160
trial_007,Kayser_Op20-15_JPRafferty_KAOKA6GtnNk-0000-0133
trial_008,Paganini_Op01-05_JuliaFischer_3aoOG20p2p8-0000-0166
trial_009,Paganini_Op01-24_JuliaFischer_bS9cn5NnsQA-0000-0263
trial_010,Paganini_Op01-24_JuliaFischer_bS9cn5NnsQA-0000-0263_2
trial_011,Paganini_Op01-24_SalvatoreAccardo_uALsg4aWKB0-0000-0265
trial_012,Wohlfahrt_Op45-01_BernardChevalier_kKn6VPk0VsE-0000-0058
trial_013,Wohlfahrt_Op45-01_BrianClement_ALFYf1J7wc0-0000-0054
trial_014,Wohlfahrt_Op45-01_TimRohwer_JhWXzXq0idk-0000-0058
trial_015,Wohlfahrt_Op45-02_JPRafferty_xAc05tUm_0Q-0001-0045
trial_016,Wohlfahrt_Op45-02_MichaelPijoan_rDCZp47kBwQ-0000-0044
trial_017,Wohlfahrt_Op45-04_BochanKang_LoWn4Hc6C9w-0000-0068
trial_018,Wohlfahrt_Op45-04_TimRohwer_JtrrX9rPSuo-0001-0082
trial_019,Wohlfahrt_Op45-06_BernardChevalier_fzkOsCmZNYw-0000-0062
trial_020,Wohlfahrt_Op45-06_ZYZ_h5C9RQyjNBg-0002-0061
trial_021,Wohlfahrt_Op45-11_JPRafferty_C7jmijiUgrs-0001-0040
trial_022,Wohlfahrt_Op45-11_TimRohwer_AwuwIj4exBw-0002-0069
trial_023,Wohlfahrt_Op45-46_TimRohwer_1dDkYkytw1w-0000-0128
trial_024,Wohlfahrt_Op45-46_ZYZ_eVpAqTyJBQw-0003-0129
